"Name","Last","High","Low","Chg. %","Vol.","Upside","Time"
"Intel","36.28","37.49","35.67","0.64%","69.47M","xx.xx","18/12"
"Microsoft","483.98","489.60","477.89","1.65%","28.57M","xx.xx","18/12"
"Cisco","76.95","77.81","76.26","1.25%","19.25M","xx.xx","18/12"
"Kraft Heinz","24.75","24.98","24.60","0.00%","13.21M","xx.xx","18/12"
"Vertex","447.38","452.63","445.41","-0.48%","1.06M","xx.xx","18/12"
"Monster Beverage","75.46","75.58","74.06","1.52%","4.83M","xx.xx","18/12"
"Cintas","189.89","196.05","186.52","1.34%","3.08M","xx.xx","18/12"
"Autodesk","299.24","300.03","293.77","2.14%","1.96M","xx.xx","18/12"
"Gilead","121.47","122.29","120.93","0.09%","5.8M","xx.xx","18/12"
"Alphabet A","302.46","303.96","299.23","1.93%","33.52M","xx.xx","18/12"
"Adobe","355.81","358.34","351.36","0.32%","3.35M","xx.xx","18/12"
"Qualcomm","174.19","177.08","173.53","1.07%","8.97M","xx.xx","18/12"
"Warner Bros Discovery","27.61","28.38","27.41","-2.13%","67.72M","xx.xx","18/12"
"Applied Materials","253.50","260.82","252.23","2.11%","8.74M","xx.xx","18/12"
"Cadence Design","315.10","322.41","314.35","0.66%","1.82M","xx.xx","18/12"
"Microchip","64.06","65.68","63.75","0.11%","6.55M","xx.xx","18/12"
"Intuitive Surgical","561.89","566.85","557.26","0.90%","1.55M","xx.xx","18/12"
"Paychex","114.24","116.67","113.46","-2.11%","6.42M","xx.xx","18/12"
"Apple","272.19","273.63","266.95","0.13%","51.63M","xx.xx","18/12"
"Fastenal","42.34","42.42","41.74","1.12%","7.62M","xx.xx","18/12"
"PACCAR","111.50","112.49","110.71","-0.12%","4.41M","xx.xx","18/12"
"Amazon.com","226.76","229.23","224.41","2.48%","50.27M","xx.xx","18/12"
"Ross Stores","182.57","184.50","181.76","-0.09%","2.16M","xx.xx","18/12"
"Costco","857.59","863.15","852.51","-0.59%","2.47M","xx.xx","18/12"
"Lam Research","164.70","168.29","162.00","6.27%","14.01M","xx.xx","18/12"
"Intuit","668.88","676.54","661.50","1.23%","2.04M","xx.xx","18/12"
"Cognizant A","83.76","84.53","82.56","0.16%","5.77M","xx.xx","18/12"
"KLA Corp","1,222.39","1,233.00","1,211.00","4.30%","1.06M","xx.xx","18/12"
"Amgen","324.42","328.24","321.91","-0.49%","2.67M","xx.xx","18/12"
"Electronic Arts","203.90","204.18","203.80","0.13%","1.47M","xx.xx","18/12"
"Biogen","169.91","173.00","168.56","-1.27%","2.76M","xx.xx","18/12"
"NVIDIA","174.14","176.15","171.82","1.87%","176.1M","xx.xx","18/12"
"Starbucks","89.42","90.58","87.30","4.94%","16.47M","xx.xx","18/12"
"Axon Enterprise","563.28","568.61","555.15","2.41%","955.66K","xx.xx","18/12"
"Comcast","30.27","30.43","29.74","-0.16%","46.35M","xx.xx","18/12"
"Marvell","84.47","85.03","82.65","3.39%","12.73M","xx.xx","18/12"
"Analog Devices","274.92","277.10","272.80","1.43%","4.1M","xx.xx","18/12"
"Xcel Energy","73.61","73.85","73.06","0.64%","8.31M","xx.xx","18/12"
"CSX","36.61","36.80","36.44","0.30%","13.12M","xx.xx","18/12"
"Exelon","44.28","44.45","44.00","0.14%","6.53M","xx.xx","18/12"
"Micron","248.55","263.65","245.00","10.21%","65.01M","xx.xx","18/12"
"Marriott Int","306.82","311.69","304.90","-1.05%","1.66M","xx.xx","18/12"
"American Electric Power","115.58","115.80","115.00","0.76%","4.79M","xx.xx","18/12"
"Texas Instruments","176.19","178.90","175.90","0.97%","8.55M","xx.xx","18/12"
"Coca-Cola European","91.67","92.40","91.45","-0.54%","1.82M","xx.xx","18/12"
"Honeywell","198.08","201.33","196.66","-0.91%","4.17M","xx.xx","18/12"
"AMD","201.06","206.36","200.50","1.49%","29.72M","xx.xx","18/12"
"Baker Hughes","44.47","45.37","44.26","-1.81%","9.23M","xx.xx","18/12"
"PepsiCo","149.37","150.37","149.25","-0.47%","6.64M","xx.xx","18/12"
"ADP","260.97","265.25","260.76","-1.70%","3.51M","xx.xx","18/12"
"Keurig Dr Pepper","28.10","28.40","27.96","0.18%","16.5M","xx.xx","18/12"
"Netflix","94.00","95.81","93.59","-0.83%","37.24M","xx.xx","18/12"
"Booking","5,345.47","5,426.77","5,332.74","0.08%","194.84K","xx.xx","18/12"
"O’Reilly Automotive","91.79","93.16","91.50","-1.14%","8.21M","xx.xx","18/12"
"Roper Technologies","450.51","454.81","446.81","-0.38%","2.34M","xx.xx","18/12"
"Broadcom","329.88","336.03","323.63","1.18%","54.5M","xx.xx","18/12"
"NXP","222.08","228.60","222.03","-0.52%","2.67M","xx.xx","18/12"
"Tesla","483.37","490.86","473.12","3.45%","95.17M","xx.xx","18/12"
"Take-Two","246.65","246.85","241.38","2.54%","1.81M","xx.xx","18/12"
"Charter Communications","206.50","213.80","206.40","-1.51%","2.29M","xx.xx","18/12"
"CoStar","64.88","65.50","64.65","0.08%","5.13M","xx.xx","18/12"
"DexCom","65.91","66.67","65.56","0.24%","3.92M","xx.xx","18/12"
"Fortinet","79.75","80.60","78.57","0.47%","8.07M","xx.xx","18/12"
"IDEXX Labs","697.10","711.68","693.37","0.22%","483.77K","xx.xx","18/12"
"MercadoLibre","1,964.46","1,983.22","1,932.49","2.51%","686.12K","xx.xx","18/12"
"Strategy","158.24","169.51","157.43","-1.33%","17.53M","xx.xx","18/12"
"ON Semiconductor","54.34","55.31","54.14","1.89%","9.96M","xx.xx","18/12"
"T-Mobile US","200.27","202.37","199.19","0.45%","6.86M","xx.xx","18/12"
"Meta Platforms","664.45","670.56","656.46","2.30%","20.26M","xx.xx","18/12"
"Workday","218.08","219.26","216.57","0.96%","3.23M","xx.xx","18/12"
"Mondelez","54.78","54.84","53.68","1.78%","19.27M","xx.xx","18/12"
"Lululemon Athletica","215.11","225.98","215.05","3.48%","12.12M","xx.xx","18/12"
